Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Improvement vs Original
Original Absolute Temporal GNN,0.8182901585526796,0.5298853476887055,0.8447519336581736,0.0
Improved Temporal GNN,0.8419722564722247,0.5165759598474797,0.8360107463216968,-2.5
Improved Temporal GNN (Large),0.8054913391319555,0.526022138005276,0.838757697664823,-0.7
