seed,val_pr_auc,test_pr_auc,test_roc_auc,test_f1
0,0.9941114200933073,0.6583235086575719,0.8956421448763929,0.6846663270504331
1,0.9944325687141415,0.6461073520772787,0.8836908718172463,0.665648854961832
7,0.9923572636686189,0.6489111165411778,0.8956260830042465,0.6736842105263158
42,0.9934830614923498,0.6064754295406937,0.8738676002032446,0.6606670195870831
123,0.992116062913506,0.6590502845504935,0.888743101940135,0.6723704076497232
11,0.9936695035388678,0.6184594737458383,0.8753971078587686,0.656670113753878
21,0.9955148365346047,0.6794114314708329,0.8902193422569586,0.6683569979716024
77,0.9933710616834687,0.6336769547866355,0.8810873361121885,0.6576980568011959
2024,0.9933381057203567,0.649139182373638,0.8895764136459003,0.6749482401656315
31337,0.9936733060320881,0.6707343822028732,0.8910577961816786,0.6922666666666667
