Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Recon PR-AUC
Original Temporal GNN,0.8182901585526796,0.5298853476887055,0.8447519336581736,-
GNN Autoencoder (No Pretrain),0.6959502224603886,0.31242826869361906,0.7876456653382083,0.035199686295792336
GNN Autoencoder (Pretrained),0.7702785862212669,0.4539254803145171,0.8211901329173853,0.03578905781881939
GNN Autoencoder (Large),0.7820358821741991,0.4754436020462769,0.8287660124545951,0.03629119920530258
