seed,val_pr_auc,test_pr_auc,test_roc_auc,test_f1,test_precision,test_recall
0,0.9584003139778232,0.6025519538412365,0.8858685712961702,0.5767301905717152,0.6311745334796927,0.530932594644506
1,0.9777301540704686,0.6695479653059261,0.9100801042769409,0.6364653243847874,0.8070921985815603,0.5253924284395198
7,0.9485327112765344,0.6811330289839965,0.9006705393020098,0.665606783253842,0.7810945273631841,0.579870729455217
42,0.9751584434174585,0.6525646089876327,0.9044354300337892,0.6520577231427044,0.7741116751269036,0.5632502308402585
123,0.9543570414351318,0.6364203726630601,0.876445787793691,0.6401790710688304,0.8125,0.5281625115420129
