Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
SimpleHeteroGNN (Mean),0.9869681699602562,0.6040472602927396,0.869919888463456,0.59
HANStyle HeteroGNN (Attention),0.9916177225347778,0.4606765831760008,0.8441799367676459,0.44870565675934804
