Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
RiskMAGNN (Base),0.9674358351798414,0.9388460808398973,0.9856861770514401,0.8632938643702907
RiskMAGNN (Large),0.9666311356965924,0.9420193057070031,0.9858441024825374,0.8621420996818664
