Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
RiskMAGNN (Base),0.9588558792287661,0.616090179109377,0.9027578869690667,0.6048387096774194
RiskMAGNN (Large),0.959248856331061,0.6902062048241512,0.8966251858987773,0.6632361349342482
