Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
ImprovedHeteroGNN,0.9742451273103307,0.5393070305962565,0.8889416823368226,0.3840224246671338
ImprovedHeteroGNN (Large),0.9806347962350405,0.6206128659535428,0.898696713680462,0.4185714285714286
