Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
RiskMAGNN (Base),0.8254598365032269,0.14800159669259155,0.8137796902642035,0.06493506493506493
RiskMAGNN (Large),0.8293025231212611,0.12288946559914025,0.7864476088280501,0.02857142857142857
