seed,test_pr_auc,test_roc_auc,test_f1,val_pr_auc
0,0.5063660970754491,0.8181547427393908,0.34328358208955223,0.8206111841820599
1,0.491179793617556,0.8168702582742444,0.21518987341772153,0.8153252565937196
7,0.5702714519151891,0.8214918384480172,0.21320027217056023,0.8209224179921172
42,0.5264960715268144,0.8162870453846209,0.2157558552164656,0.8250886294322909
123,0.5718915252723183,0.8205146494134032,0.18047635021804764,0.835068849718069
