Variant,Test PR-AUC,Val PR-AUC,Delta,% Change
Full Temporal GNN,0.4918145021956358,0.8533477286637315,0.0,0.0
No Temporal Encoding,0.559367740962984,0.8642680931766604,0.0675532387673482,13.7
No Skip Connections,0.3487234541938061,0.7180842629825082,-0.1430910480018297,-29.1
Smaller Model,0.5454294482531075,0.8482720795886556,0.053614946057471635,10.9
No Standardization,0.500085410289304,0.8298650195318611,0.00827090809366815,1.7
