Model,Val PR-AUC,Test PR-AUC,Test ROC-AUC,Test F1
SimpleHeteroGNN,0.9869681699602562,0.6040472602927396,0.869919888463456,0.59
SimpleHeteroGNN (Large),0.982388601605704,0.5360656492203743,0.8503090382846671,0.5469032959072799
